Titulo,Autor,Precio,Precio_socio,Link
¿quien Era San Ignacio De Loyola?,Iñigo Bolinaga,12.0,11.4,https://www.elkar.eus/es/liburu_fitxa/quien-era-san-ignacio-de-loyola/bolinaga-inigo/9788471485687
Finzi-Continitarren Lorategia,Giorgio Bassani,17.5,16.63,https://www.elkar.eus/es/liburu_fitxa/finzi-continitarren-lorategia/bassani-giorgio/9788490275733
Horas En Una Biblioteca,Virginia Woolf,19.9,18.91,https://www.elkar.eus/es/liburu_fitxa/horas-en-una-biblioteca/woolf-virginia/9788432229299
Asesinato En La Catedral - Un Nuevo Misterio Para Gervase Fen,Edmund Crispin,22.2,21.09,https://www.elkar.eus/es/liburu_fitxa/asesinato-en-la-catedral-un-nuevo-misterio-para-gervase-fen/crispin-edmund/9788416542406
Lehertu Da Festa,Eneko Aizpurua,17.0,16.15,https://www.elkar.eus/es/liburu_fitxa/lehertu-da-festa/aizpurua-eneko/9788491091257
"Polvora Y Azafran - Del Reino De Granada A La Tierra De Gracia, Pasando Por El Puerto De Palos",Arantzazu Ametzaga Iribarren,16.0,15.2,https://www.elkar.eus/es/liburu_fitxa/polvora-y-azafran-del-reino-de-granada-a-la-tierra-de-gracia-pasando-por-el-puerto-de-palos/ametzaga-iribarren-arantzazu/9788471485694
Nafarroa - Orain Ala Inoiz Ez,Ion Orzaiz / Joxerra Senar,16.5,15.68,https://www.elkar.eus/es/liburu_fitxa/nafarroa-orain-ala-inoiz-ez/orzaiz-ion/senar-joxerra/9788490276617
Laranja Bat Zaborretan,Patxi Zubizarreta Dorronsoro / Mintxo Cemillan (il. ),13.75,13.06,https://www.elkar.eus/es/liburu_fitxa/laranja-bat-zaborretan/zubizarreta-dorronsoro-patxi/cemillan-mintxo-il/9788490274057
Feriatzaileak,Patxi Larrion,18.0,17.1,https://www.elkar.eus/es/liburu_fitxa/feriatzaileak/larrion-patxi/9788492468867
Txinako Loreontzi Bat,Begoña Ibarrola / Marta Balaguer (il. ),7.4,7.03,https://www.elkar.eus/es/liburu_fitxa/txinako-loreontzi-bat/ibarrola-begona/balaguer-marta-il/9788490275689
Conectate Con La Naturaleza - Terapia Horticola Y Baños De Bosque,Jabier Herreros Lamas / Hodei Herreros Rodriguez (il),16.05,15.25,https://www.elkar.eus/es/liburu_fitxa/conectate-con-la-naturaleza-terapia-horticola-y-banos-de-bosque/herreros-lamas-jabier/herreros-rodriguez-hodei-il/9788471485670
Piztia Txikiak,Pascale Hedelin / Dan Kerleroux (il. ) / Anne Eydoux (il. ),13.35,12.68,https://www.elkar.eus/es/liburu_fitxa/piztia-txikiak/hedelin-pascale/kerleroux-dan-il/eydoux-anne-il/9788498436747
Que Pequeño Es El Mundo,Martin Suter,20.95,19.9,https://www.elkar.eus/es/liburu_fitxa/que-pequeno-es-el-mundo/suter-martin/9788416213726
La viuda,Fiona Barton,19.5,18.53,https://www.elkar.eus/es/liburu_fitxa/viuda-la/barton-fiona/9788408155546
Las voces del estrecho,Andres Sorel,16.0,15.2,https://www.elkar.eus/es/liburu_fitxa/voces-del-estrecho-las/sorel-andres/9788446043027
2084 - El Fin Del Mundo,Boualem Sansal,19.5,18.53,https://www.elkar.eus/es/liburu_fitxa/2084-el-fin-del-mundo/sansal-boualem/9788432229480
Gezurren Basoa,Alberto Ladron Arana,21.85,20.76,https://www.elkar.eus/es/liburu_fitxa/gezurren-basoa/ladron-arana-alberto/9788490276020
Elurte Amaiezina,Agustin Fernandez Paz,15.8,15.01,https://www.elkar.eus/es/liburu_fitxa/elurte-amaiezina/fernandez-paz-agustin/9788490275757
Alsina,Xabier Mendiguren Elizegi,20.75,19.71,https://www.elkar.eus/es/liburu_fitxa/alsina/mendiguren-elizegi-xabier/9788497834957
El año que el mundo se vino abajo,Clare Furnis,14.5,13.78,https://www.elkar.eus/es/liburu_fitxa/ano-que-el-mundo-se-vino-abajo-el/furnis-clare/9788416555017
Asterix Y Los Juegos Olimpicos,Rene Goscinny,12.9,12.26,https://www.elkar.eus/es/liburu_fitxa/asterix-y-los-juegos-olimpicos/goscinny-rene/9788469605943
Rio Negro,Arnaldur Indridason,15.0,14.25,https://www.elkar.eus/es/liburu_fitxa/rio-negro/indridason-arnaldur/9788490560969
Nire Maitea,Astrid Desbordes / Pauline Martin (il. ),12.2,11.59,https://www.elkar.eus/es/liburu_fitxa/nire-maitea/desbordes-astrid/martin-pauline-il/9788498436549
Gauzak Ez Ziren Sekula Berdinak Izango,Iñaki Irasizabal Izagirre,11.15,10.59,https://www.elkar.eus/es/liburu_fitxa/gauzak-ez-ziren-sekula-berdinak-izango/irasizabal-izagirre-inaki/9788490275764
Señales De Humo - Manual De Literatura Para Canibales 1,Rafael Reig,19.5,18.53,https://www.elkar.eus/es/liburu_fitxa/senales-de-humo-manual-de-literatura-para-canibales-1/reig-rafael/9788490662847
Argia,Peru Magdalena Arriaga,16.0,15.2,https://www.elkar.eus/es/liburu_fitxa/argia/magdalena-arriaga-peru/9788490275436
Jolastuko Al Gara?,Herve Tullet,13.35,12.68,https://www.elkar.eus/es/liburu_fitxa/jolastuko-al-gara/tullet-herve/9788498436570
Nola Sortzen Da Euria?,Katie Daynes / Christine Pym (il. ),13.25,12.59,https://www.elkar.eus/es/liburu_fitxa/nola-sortzen-da-euria/daynes-katie/pym-christine-il/9788498436655
Oro Verde,Inma Roiz Ulibarri,21.0,19.95,https://www.elkar.eus/es/liburu_fitxa/oro-verde/roiz-ulibarri-inma/9788498436884
Tapper Bikiak New York Astintzen,Geoff Rodkey,18.5,17.58,https://www.elkar.eus/es/liburu_fitxa/tapper-bikiak-new-york-astintzen/rodkey-geoff/9788490275238
Donostiako Gaurko Eta Betiko Pintxoak,Josema Azpeitia Salvador,25.0,23.75,https://www.elkar.eus/es/liburu_fitxa/donostiako-gaurko-eta-betiko-pintxoak/azpeitia-salvador-josema/9788498436846
Simplisimo - El Libro De Cocina Mas Facil Del Mundo,Jean-François Mallet,19.95,18.95,https://www.elkar.eus/es/liburu_fitxa/simplisimo-el-libro-de-cocina-mas-facil-del-mundo/mallet-jean-francois/9788416368976
Una naranja en la basura,Patxi Zubizarreta Dorronsoro / Mintxo Cemillan (il. ),13.66,12.98,https://www.elkar.eus/es/liburu_fitxa/naranja-en-la-basura-una/zubizarreta-dorronsoro-patxi/cemillan-mintxo-il/9788498436556
Arrotz Eta Eder,Pako Aristi,14.0,13.3,https://www.elkar.eus/es/liburu_fitxa/arrotz-eta-eder/aristi-pako/9788492468850
Los mejores paseos por la costa vasca,Santi Yaniz,17.95,17.05,https://www.elkar.eus/es/liburu_fitxa/mejores-paseos-por-la-costa-vasca-los/yaniz-santi/9788482165967
La legion perdida,Santiago Posteguillo,22.9,21.76,https://www.elkar.eus/es/liburu_fitxa/legion-perdida-la/posteguillo-santiago/9788408151081
Cinco Esquinas,Mario Vargas Llosa,20.9,19.86,https://www.elkar.eus/es/liburu_fitxa/cinco-esquinas/vargas-llosa-mario/9788420418964
Mundo De Los Pirineos 111 (revista),Aa. Vv.,5.9,5.61,https://www.elkar.eus/es/liburu_fitxa/mundo-de-los-pirineos-111-revista/aa-vv/9771138412003_000111
Ikastola Armairu Barruan - Lur Eta Amets - Euskal Herriaren Historia 8,Uxue Alberdi Estibaritz / Patxi Pelaez Picapiedra (il. ),9.0,8.55,https://www.elkar.eus/es/liburu_fitxa/ikastola-armairu-barruan-lur-eta-amets-euskal-herriaren-historia-8/alberdi-estibaritz-uxue/pelaez-picapiedra-patxi-il/9788490275313
Historia De Un Canalla,Julia Navarro,22.9,21.76,https://www.elkar.eus/es/liburu_fitxa/historia-de-un-canalla/navarro-julia/9788401016950
El elefante desaparece,Haruki Murakami,19.9,18.91,https://www.elkar.eus/es/liburu_fitxa/elefante-desaparece-el/murakami-haruki/9788490662410
"Marimutila Naiz, Eta Zer?",Ana Jaka Garcia / Patxi Gallego Palacios (il. ),8.5,8.08,https://www.elkar.eus/es/liburu_fitxa/marimutila-naiz-eta-zer/jaka-garcia-ana/gallego-palacios-patxi-il/9788490275498
Las cadenas del reino,Begoña Pro Uriarte,23.0,21.85,https://www.elkar.eus/es/liburu_fitxa/cadenas-del-reino-las/pro-uriarte-begona/9788498436822
Hau Ez Da Poesia,Unai Maleski,12.6,11.97,https://www.elkar.eus/es/liburu_fitxa/hau-ez-da-poesia/maleski-unai/9788490275375
La mujer del reloj,Alvaro Arbina,21.5,20.43,https://www.elkar.eus/es/liburu_fitxa/mujer-del-reloj-la/arbina-alvaro/9788466658294
Fotogramak,Goiatz Labandibar Arbelaitz,11.4,10.83,https://www.elkar.eus/es/liburu_fitxa/fotogramak/labandibar-arbelaitz-goiatz/9788490275467
Ohe Hotzak,Jon Ariza De Miguel,15.3,14.54,https://www.elkar.eus/es/liburu_fitxa/ohe-hotzak/ariza-de-miguel-jon/9788490275412
Gaueko Zaintzailea,Julen Belamuno,16.9,16.06,https://www.elkar.eus/es/liburu_fitxa/gaueko-zaintzailea/belamuno-julen/9788490275337
Hauts Haietatik,Unai Villena Camarero,22.5,21.38,https://www.elkar.eus/es/liburu_fitxa/hauts-haietatik/villena-camarero-unai/9788490275351
Txillardegiren Borroka Abertzalea,Pako Sudupe Elorza,25.0,23.75,https://www.elkar.eus/es/liburu_fitxa/txillardegiren-borroka-abertzalea/sudupe-elorza-pako/9788490275443
"Sarna Con Gusto - Refranes, Canciones Y Rastros De Sangre I",Cesar Perez Gellida,18.9,17.96,https://www.elkar.eus/es/liburu_fitxa/sarna-con-gusto-refranes-canciones-y-rastros-de-sangre-i/perez-gellida-cesar/9788483658512
Txokolatezkoa Izan Nahi Nuke,Alaine Agirre Garmendia / Concetta Probanza (il. ),11.3,10.74,https://www.elkar.eus/es/liburu_fitxa/txokolatezkoa-izan-nahi-nuke/agirre-garmendia-alaine/probanza-concetta-il/9788490273494
Handia - Txikia,Raphael Fejto,13.65,12.97,https://www.elkar.eus/es/liburu_fitxa/handia-txikia/fejto-raphael/9788498436440
Rita Ez Dago Eztei Eztitarako,Mikel Valverde Tejedor,12.75,12.11,https://www.elkar.eus/es/liburu_fitxa/rita-ez-dago-eztei-eztitarako/valverde-tejedor-mikel/9788490274170
Errekuperatzaileak,Pablo Sastre Forest,16.0,15.2,https://www.elkar.eus/es/liburu_fitxa/errekuperatzaileak/sastre-forest-pablo/9788490273562
Cuando Un Elefante Se Enamora,Davide Cali,12.0,11.4,https://www.elkar.eus/es/liburu_fitxa/cuando-un-elefante-se-enamora/cali-davide/9788469808535
Heroes Por Casualidad,Laura Gallego,12.9,12.26,https://www.elkar.eus/es/liburu_fitxa/heroes-por-casualidad/gallego-laura/9788469604762
Manual De Hierbas Medicinales Imprescindibles,Gabriel Vazquez Molina,13.75,13.06,https://www.elkar.eus/es/liburu_fitxa/manual-de-hierbas-medicinales-imprescindibles/vazquez-molina-gabriel/9788471485656
Kearen Fiordoa,Iñaki Petxarroman Gutierrez,18.5,17.58,https://www.elkar.eus/es/liburu_fitxa/kearen-fiordoa/petxarroman-gutierrez-inaki/9788490274033
"Viaje Sin Fin De Juan De Arrate, El - Señor De Los Arandu",Aitor Iraegi Balenziaga,17.3,16.44,https://www.elkar.eus/es/liburu_fitxa/viaje-sin-fin-de-juan-de-arrate-el-senor-de-los-arandu/iraegi-balenziaga-aitor/9788471485632
Ekarri Armak,Imanol Murua Uria,20.4,19.38,https://www.elkar.eus/es/liburu_fitxa/ekarri-armak/murua-uria-imanol/9788490273937
Muskerraren Bidea,Bernardo Atxaga,9.9,9.41,https://www.elkar.eus/es/liburu_fitxa/muskerraren-bidea/atxaga-bernardo/9788476819210
Y Los Vascos Se Echaron Al Mar,Jose Antonio Azpiazu,18.0,17.1,https://www.elkar.eus/es/liburu_fitxa/y-los-vascos-se-echaron-al-mar/azpiazu-jose-antonio/9788498436495
Hondamendia,Xabier Montoia Revuelta,20.55,19.52,https://www.elkar.eus/es/liburu_fitxa/hondamendia/montoia-revuelta-xabier/9788490272947
Hilen Xarma,Patziku Perurena Loiarte,22.5,21.38,https://www.elkar.eus/es/liburu_fitxa/hilen-xarma/perurena-loiarte-patziku/9788490273920
Farorantz,Virginia Woolf,16.0,15.2,https://www.elkar.eus/es/liburu_fitxa/farorantz/woolf-virginia/9788490273975
De Rerum Natura 6,Zaldieroa,19.0,18.05,https://www.elkar.eus/es/liburu_fitxa/de-rerum-natura-6/zaldieroa/9788490274453
Tapper Bikiak Gerran,Geoff Rodkey,17.15,16.29,https://www.elkar.eus/es/liburu_fitxa/tapper-bikiak-gerran/rodkey-geoff/9788490274200
Lur Eta Amets - Euskal Herriaren Historia,Batzuk,35.0,33.25,https://www.elkar.eus/es/liburu_fitxa/lur-eta-amets-euskal-herriaren-historia/batzuk/9788490270523
Negua - Zer Egin Nire Barazki Saskiarekin,Nagore Garcia De Vicuña / Diego Zarrabeitia,16.0,15.2,https://www.elkar.eus/es/liburu_fitxa/negua-zer-egin-nire-barazki-saskiarekin/garcia-de-vicuna-nagore/zarrabeitia-diego/9788498436525
107 Kiwi,Unai Elorriaga Lopez De Letona / Belatz (il. ),10.6,10.07,https://www.elkar.eus/es/liburu_fitxa/107-kiwi/elorriaga-lopez-de-letona-unai/belatz-il/9788490274217
Babeserako Kopia,Goizalde Landabaso Etcheverry,14.5,13.78,https://www.elkar.eus/es/liburu_fitxa/babeserako-kopia/landabaso-etcheverry-goizalde/9788490274019
"Minions, Los - Juega, Dibuja Y Colorea",Trey King,9.9,9.41,https://www.elkar.eus/es/liburu_fitxa/minions-los-juega-dibuja-y-colorea/king-trey/9788469809181
"12etan, Bermuta (zubikarai Saria 2014)",Jasone Osoro Igartua,15.4,14.63,https://www.elkar.eus/es/liburu_fitxa/12etan-bermuta-zubikarai-saria-2014/osoro-igartua-jasone/9788490273906
Antes De La Tormenta,Judith Lennox,21.9,20.81,https://www.elkar.eus/es/liburu_fitxa/antes-de-la-tormenta/lennox-judith/9788416363216
"Lorea Gernika, Andrazko Bat",Koldo Izagirre,17.5,16.63,https://www.elkar.eus/es/liburu_fitxa/lorea-gernika-andrazko-bat/izagirre-koldo/9788492468720
Atzaparra Zubian - Lur Eta Amets - Euskal Herriaren Historia 2,Unai Elorriaga Lopez De Letona / Patxi Pelaez Picapiedra (il. ),9.0,8.55,https://www.elkar.eus/es/liburu_fitxa/atzaparra-zubian-lur-eta-amets-euskal-herriaren-historia-2/elorriaga-lopez-de-letona-unai/pelaez-picapiedra-patxi-il/9788490270486
Alizia Herrialde Miresgarrian,Lewis Carroll,18.0,17.1,https://www.elkar.eus/es/liburu_fitxa/alizia-herrialde-miresgarrian/carroll-lewis/9788476818299
La dama del velo y el laurel,Begoña Pro Uriarte,23.0,21.85,https://www.elkar.eus/es/liburu_fitxa/dama-del-velo-y-el-laurel-la/pro-uriarte-begona/9788498436211
El museo de los ladrones,Lian Tanner,13.0,12.35,https://www.elkar.eus/es/liburu_fitxa/museo-de-los-ladrones-el/tanner-lian/9788467871562
Mientras Llueva,Teresa Viejo,5.95,5.65,https://www.elkar.eus/es/liburu_fitxa/mientras-llueva/viejo-teresa/9788467044720
Kopetilun,Emile Jadoul,12.0,11.4,https://www.elkar.eus/es/liburu_fitxa/kopetilun/jadoul-emile/9788498436334
El aroma del crimen,Xabier Gutierrez,18.5,17.58,https://www.elkar.eus/es/liburu_fitxa/aroma-del-crimen-el/gutierrez-xabier/9788423349050
Diario De Un Nomada,Miquel Silvestre,18.9,17.96,https://www.elkar.eus/es/liburu_fitxa/diario-de-un-nomada/silvestre-miquel/9788401347443
X Hil Da,Alaine Agirre Garmendia,11.7,11.12,https://www.elkar.eus/es/liburu_fitxa/x-hil-da/agirre-garmendia-alaine/9788490273883
Espedizioa - Mendi Ororen Pisua,Juan Ramon Madariaga Abaitua,17.0,16.15,https://www.elkar.eus/es/liburu_fitxa/espedizioa-mendi-ororen-pisua/madariaga-abaitua-juan-ramon/9788416350124
Aita Gurea,Iñaki Irasizabal Izagirre,12.4,11.78,https://www.elkar.eus/es/liburu_fitxa/aita-gurea/irasizabal-izagirre-inaki/9788490273418
"Agur, Agur!",Castillo Suarez,7.0,6.65,https://www.elkar.eus/es/liburu_fitxa/agur-agur/suarez-castillo/9788497469340
Excursiones A Ventanas Naturales,Santiago Yaniz Aramendia,17.95,17.05,https://www.elkar.eus/es/liburu_fitxa/excursiones-a-ventanas-naturales/yaniz-aramendia-santiago/9788482165653
La joven durmiente y el huso,Neil Gaiman / Chris Riddell (il. ),18.0,17.1,https://www.elkar.eus/es/liburu_fitxa/joven-durmiente-y-el-huso-la/gaiman-neil/riddell-chris-il/9788498386516
Ozeanoa,Anouck Boisrobert / Louis Rigaud (il. ),15.9,15.11,https://www.elkar.eus/es/liburu_fitxa/ozeanoa/boisrobert-anouck/rigaud-louis-il/9788498435818
La banda de los sacco,Andrea Camilleri,15.0,14.25,https://www.elkar.eus/es/liburu_fitxa/banda-de-los-sacco-la/camilleri-andrea/9788423349074
Una decision peligrosa,Jose Javier Abasolo,20.0,19.0,https://www.elkar.eus/es/liburu_fitxa/decision-peligrosa-una/abasolo-jose-javier/9788498435825
Izuen Gordelekuetan Barrena,Joseba Sarrionandia,14.0,13.3,https://www.elkar.eus/es/liburu_fitxa/izuen-gordelekuetan-barrena/sarrionandia-joseba/9788476818657
"Aguas Limpias, Aguas Turbias",Joan Mari Irigoien Aranberri,20.0,19.0,https://www.elkar.eus/es/liburu_fitxa/aguas-limpias-aguas-turbias/irigoien-aranberri-joan-mari/9788498435245
Ez Tiro Egin Anbulantziei (xvi. Igartza Saria),Mikel Ayllon,22.5,21.38,https://www.elkar.eus/es/liburu_fitxa/ez-tiro-egin-anbulantziei-xvi-igartza-saria/ayllon-mikel/9788490273395
Euskal Herria (euskera),Hektor Ortega / Alberto Muro,29.5,28.03,https://www.elkar.eus/es/liburu_fitxa/euskal-herria-euskera/ortega-hektor/muro-alberto/9788482165561
Prime-Time,John Andueza Altuna,21.15,20.09,https://www.elkar.eus/es/liburu_fitxa/prime-time/andueza-altuna-john/9788490273036
La sombra del escarmiento (1936-2014),Miguel Sanchez-Ostiz,18.0,17.1,https://www.elkar.eus/es/liburu_fitxa/sombra-del-escarmiento-1936-2014-la/sanchez-ostiz-miguel/9788476818558
Eskaintza Ekaitzari,Dolores Redondo,18.5,17.58,https://www.elkar.eus/es/liburu_fitxa/eskaintza-ekaitzari/redondo-dolores/9788497469272
Arboles Sanadores,Gabriel Vazquez Molina / Jabier Herreros Lamas / Marta Sarmiento Herrero,25.25,23.99,https://www.elkar.eus/es/liburu_fitxa/arboles-sanadores/vazquez-molina-gabriel/herreros-lamas-jabier/sarmiento-herrero-marta/9788471485571
Orpoz Orpo,Ernesto Prat Urzainki,17.0,16.15,https://www.elkar.eus/es/liburu_fitxa/orpoz-orpo/prat-urzainki-ernesto/9788415313908
Gerra Txikia,Lander Garro,20.0,19.0,https://www.elkar.eus/es/liburu_fitxa/gerra-txikia/garro-lander/9788492468584
Max El Valiente,Ed Vere,13.5,12.83,https://www.elkar.eus/es/liburu_fitxa/max-el-valiente/vere-ed/9788426140715
"Tunelak, Izarak, Mozorroak Eta Bafleak",Josu Martinez Martinez,15.5,14.73,https://www.elkar.eus/es/liburu_fitxa/tunelak-izarak-mozorroak-eta-bafleak/martinez-martinez-josu/9788490272428
Zuhaitzaren Urtaroak,Maryse Guittet,8.95,8.5,https://www.elkar.eus/es/liburu_fitxa/zuhaitzaren-urtaroak/guittet-maryse/9788498435238
"Hierbas Para Comer, Beber, Sanar Y Amar",Jabier Herreros Lamas,15.6,14.82,https://www.elkar.eus/es/liburu_fitxa/hierbas-para-comer-beber-sanar-y-amar/herreros-lamas-jabier/9788471485540
Verba Polita,Javier Aramendi,14.0,13.3,https://www.elkar.eus/es/liburu_fitxa/verba-polita/aramendi-javier/9788497469333
Borroka Kluba,Chuck Palahniuk,18.5,17.58,https://www.elkar.eus/es/liburu_fitxa/borroka-kluba/palahniuk-chuck/9788415313823
"Recetario De Carnes - Aves, Carnes Rojas Y Caza",Aa. Vv.,15.0,14.25,https://www.elkar.eus/es/liburu_fitxa/recetario-de-carnes-aves-carnes-rojas-y-caza/aa-vv/9788498435382
Celda Numero 8,Anders Roslund / Borge Hellstrom,5.95,5.65,https://www.elkar.eus/es/liburu_fitxa/celda-numero-8/roslund-anders/hellstrom-borge/9788490560976
Doministripu Jauna,Leire Bilbao Barruetabeña / Antton Olariaga Aranburu (il.,7.65,7.27,https://www.elkar.eus/es/liburu_fitxa/doministripu-jauna/bilbao-barruetabena-leire/olariaga-aranburu-antton-il/9788490272534
Egunsentiko Argia,Toti Martinez De Lezea,10.0,9.5,https://www.elkar.eus/es/liburu_fitxa/egunsentiko-argia/martinez-de-lezea-toti/9788497468763
El balcon en invierno,Luis Landero,17.0,16.15,https://www.elkar.eus/es/liburu_fitxa/balcon-en-invierno-el/landero-luis/9788483839294
La aventura de correr descalzo,Emilio Saez Soro,16.0,15.2,https://www.elkar.eus/es/liburu_fitxa/aventura-de-correr-descalzo-la/saez-soro-emilio/9788498292954
Pupu Eta Lore Triste - Nor Gara?,Uxue Alberdi Estibaritz / Julen Tokero Alvarez (il. ),8.4,7.98,https://www.elkar.eus/es/liburu_fitxa/pupu-eta-lore-triste-nor-gara/alberdi-estibaritz-uxue/tokero-alvarez-julen-il/9788490272725
El umbral de la eternidad,Ken Follett,24.9,23.66,https://www.elkar.eus/es/liburu_fitxa/umbral-de-la-eternidad-el/follett-ken/9788401342196
Tonino,Miguel Salas / Paolo Domeniconi,14.25,13.54,https://www.elkar.eus/es/liburu_fitxa/tonino/salas-miguel/domeniconi-paolo/9788415313755
Vieja Luna De Bilbao - Cronicas De Mi Generacion (2015 Premio Euskadi Ensayo Castellano),Joseba Zulaika,32.0,30.4,https://www.elkar.eus/es/liburu_fitxa/vieja-luna-de-bilbao-cronicas-de-mi-generacion-2015-premio-euskadi-ensayo-castellano/zulaika-joseba/9788416254002
"Mundo De Afuera, El (2014 Premio Alfaguara)",Jorge Franco,18.0,17.1,https://www.elkar.eus/es/liburu_fitxa/mundo-de-afuera-el-2014-premio-alfaguara/franco-jorge/9788420416335
Sugaar,Ramon Olasagasti Aiestaran / Bruno Hidalgo Garcia (il. ),12.7,12.07,https://www.elkar.eus/es/liburu_fitxa/sugaar/olasagasti-aiestaran-ramon/hidalgo-garcia-bruno-il/9788490272480
Hodeiak Zapatetan,Mikel Etxaburu,12.5,11.88,https://www.elkar.eus/es/liburu_fitxa/hodeiak-zapatetan/etxaburu-mikel/9788492468560
La mujer loca,Juan Jose Millas,17.5,16.63,https://www.elkar.eus/es/liburu_fitxa/mujer-loca-la/millas-juan-jose/9788432221248
San Sebastian En La Primera Guerra Mundial,Javier Sada Anguera,14.7,13.97,https://www.elkar.eus/es/liburu_fitxa/san-sebastian-en-la-primera-guerra-mundial/sada-anguera-javier/9788471485441
